pr_number,pr_title,pr_author,pr_state,pr_created_at,pr_merged_at,pr_additions,pr_deletions,pr_changed_files_count,pr_labels,pr_head_branch,pr_base_branch,pr_review_decision,pr_is_draft,pr_review_count,pr_reviewer_logins,pr_commit_count,hours_to_merge,hours_to_first_review,authorship,is_bot_author,has_any_agent_marker,agent_marker_conversation_link,agent_marker_coauthored,agent_marker_try_pr,touches_tui_files,touches_snapshot_files,touches_test_files,snapshot_svgs_changed,has_linked_issue,linked_issue_count,linked_issue_numbers,linked_issue_authors,release_tag,release_date,h_pr_type,h_bug_severity,h_touches_tui,h_authorship,h_has_snapshot_changes,h_issue_reporter_type,llm_pr_type,llm_bug_severity,llm_touches_tui,llm_rationale
595,fix(tui): consolidate duplicate get_conversation_summary logic,app/github-actions,merged,2026-03-16T09:37:44Z,2026-03-16T10:14:28Z,40,26,4,,fix/code-quality/consolidate-get-conversation-summary,main,APPROVED,false,2,enyst,2,0.61,0.5,bot,true,true,false,false,true,true,false,false,0,false,0,,,1.14.0,2026-04-02,bug-fix,polish,true,bot,false,no-issue,refactor,,true,"This PR extracts and consolidates duplicate get_conversation_summary logic into a shared module, reducing code duplication in TUI components without changing external behavior."
590,feat(tui): colored status icon,VascoSch92,merged,2026-03-11T21:20:58Z,2026-03-12T13:53:33Z,80,69,8,,vasco/check-and-cross,main,APPROVED,false,5,"malhotra5,all-hands-bot",2,16.54,0.03,agent,false,true,false,false,true,true,true,false,7,false,0,,,1.14.0,2026-04-02,feature,,true,agent,true,no-issue,feature,,true,"This PR adds colored status icons to the terminal UI action view using Rich text styling, which is a new UI enhancement rather than a bug fix."
589,Bump version to 1.13.1,all-hands-bot,merged,2026-03-11T21:00:38Z,2026-03-11T21:10:04Z,27,27,27,,bump-version-1.13.1,main,APPROVED,false,2,"malhotra5,all-hands-bot",1,0.16,0.04,bot,true,true,false,false,true,false,true,false,25,false,0,,,1.14.0,2026-04-02,version-bump,,false,bot,true,no-issue,version-bump,,false,"This PR exclusively bumps the project version to 1.13.1, regenerates the lock file, and updates snapshot tests. It contains no user-facing or terminal UI code changes."
587,fix: bump agent-client-protocol to >=0.8.1,simonrosenberg,merged,2026-03-09T14:00:16Z,2026-03-09T17:55:41Z,67,34,9,,fix/bump-acp-version,main,APPROVED,false,1,jpshackelford,4,3.92,1.28,agent,false,true,false,false,true,false,false,true,0,false,0,,,1.13.1,2026-03-11,dependency-bump,,false,agent,false,no-issue,dependency-bump,,false,This PR updates the agent-client-protocol dependency to >=0.8.1 to resolve a conflict with openhands-sdk v1.12.0 and allow the CLI to upgrade. All code and tests changes stem from renamed symbols in the new protocol version.
584,fix(types): add missing return type annotations,app/github-actions,merged,2026-03-09T09:30:56Z,2026-03-09T09:48:48Z,8,7,5,,fix/code-quality/add-missing-return-type-hints,main,APPROVED,false,1,enyst,3,0.3,0.06,bot,true,true,false,false,true,true,false,false,0,false,0,,,1.13.1,2026-03-11,bug-fix,polish,true,bot,false,no-issue,refactor,,true,"This PR purely adds missing return type annotations to various methods for code quality and static typing improvements without changing behavior. It also touches the TUI conversation runner file, hence touches_tui is true."
581,tui: add tab navigation hint to footers (#512),ixchio,merged,2026-03-08T20:17:57Z,2026-03-31T16:53:15Z,75,74,6,,fix-tab-navigation-issue-512,main,APPROVED,false,3,"enyst,ixchio",9,548.59,0.3,human,false,false,false,false,false,true,true,false,4,true,1,512,malhotra5,,,feature,,true,human,true,human,bug-fix,ux-regression,true,"This PR fixes issue #512 by adding a visible Tab navigation hint in the TUI footers, addressing the unintuitive CLI navigation and improving discoverability for users."
578,refactoring(cli): print_console,VascoSch92,merged,2026-03-07T09:32:16Z,2026-03-08T03:57:11Z,148,241,8,,vasco/concole_print,main,APPROVED,false,6,"enyst,all-hands-bot,VascoSch92",2,18.42,0.04,agent,false,true,false,false,true,false,false,true,0,false,0,,,1.13.1,2026-03-11,refactor,,false,agent,false,no-issue,refactor,,false,This change restructures and cleans up console_print usage by adding a style parameter and updating call sites to reduce code duplication without altering functionality. It is purely a code quality and maintenance improvement rather than a feature or bug fix.
577,refactoring(cli/tui): richlog visualizer,VascoSch92,merged,2026-03-07T09:04:03Z,2026-03-10T06:48:27Z,21,31,1,,vasco/refactor-rich-log,main,APPROVED,false,1,all-hands-bot,5,69.74,0.02,agent,false,true,false,false,true,true,false,false,0,false,0,,,1.13.1,2026-03-11,refactor,,true,agent,false,no-issue,refactor,,true,"This change extracts duplicated logic in the TUI richlog visualizer into a shared helper, simplifying branches and reducing code duplication without altering behavior."
570,fix(web): derive URLs from request headers for reverse-proxy support,xingyaoww,merged,2026-03-05T10:51:14Z,2026-03-06T13:23:24Z,284,4,2,,fix/web-proxy-aware-urls,main,APPROVED,false,10,"openhands-ai[bot],all-hands-bot,xingyaoww,VascoSch92",4,26.54,0.21,agent,false,true,false,false,true,true,false,true,0,false,0,,,1.13.1,2026-03-11,bug-fix,other-fix,true,agent,false,no-issue,bug-fix,ux-regression,false,"This PR corrects URL derivation for static assets and WebSocket connections behind a reverse proxy, resolving the issue where the TUI never loaded. It addresses a user-facing rendering/navigation regression rather than a code-quality or backend-only change."
564,feat: round border,VascoSch92,merged,2026-03-03T09:12:50Z,2026-03-04T00:49:45Z,115,116,49,,vasco/round-corner,main,APPROVED,false,3,"enyst,all-hands-bot",1,15.62,0.03,agent,false,true,false,false,true,true,true,false,43,false,0,,,1.13.1,2026-03-11,feature,,true,agent,true,no-issue,feature,,true,"This PR introduces rounded borders across various TUI components, adding a new visual styling feature to the CLI. It only touches styling files and snapshots without addressing any bug."
560,refactor(shared): extract parse_slash_command to shared module,app/github-actions,merged,2026-03-02T09:32:06Z,2026-03-02T10:30:01Z,52,28,3,,fix/code-quality/extract-slash-command-parser,main,APPROVED,false,2,enyst,2,0.97,0.87,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.13.1,2026-03-11,refactor,,false,bot,false,no-issue,refactor,,false,"This PR pulls the `parse_slash_command` function into a shared module to eliminate duplication between ACP and TUI implementations, improving code organization and maintainability without altering functionality."
559,fix(acp): replace global _ACP_CACHE_DIR with @lru_cache,app/github-actions,merged,2026-03-02T09:29:52Z,2026-04-13T15:55:36Z,9,11,2,,fix/code-quality/replace-global-cache-dir,main,APPROVED,false,1,enyst,4,1014.43,1014.32,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.15.0,2026-04-23,bug-fix,other-fix,false,bot,false,no-issue,refactor,,false,"This change refactors the caching logic by replacing mutable module‐level state with an lru_cache decorator for cleaner, more maintainable code without altering user behavior."
558,fix(types): add missing type hints to function parameters and __init__ methods,app/github-actions,merged,2026-03-02T09:27:49Z,2026-03-02T10:40:54Z,9,8,8,,fix/code-quality/add-missing-type-hints,main,APPROVED,false,1,enyst,3,1.22,0.99,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.13.1,2026-03-11,bug-fix,polish,false,bot,false,no-issue,refactor,,false,This PR purely adds missing type hints to functions and constructors for code quality improvements without altering functionality or fixing a behavioral bug.
554,docs: Add release procedure documentation,malhotra5,merged,2026-02-27T16:18:38Z,2026-02-27T16:43:41Z,76,0,1,,docs/release-procedure,main,APPROVED,false,5,"malhotra5,all-hands-bot",5,0.42,0.17,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.13.1,2026-03-11,feature,,false,agent,false,no-issue,docs,not-applicable,false,This PR solely adds a markdown document with release procedures and does not modify any code or UI components.
553,Bump version to 1.13.0,all-hands-bot,merged,2026-02-27T16:15:14Z,2026-02-27T16:37:23Z,27,27,27,,bump-version-1.13.0,main,APPROVED,false,2,"malhotra5,all-hands-bot",9,0.37,0.09,bot,true,true,false,false,true,false,true,false,25,false,0,,,1.13.1,2026-03-11,version-bump,,false,bot,true,no-issue,version-bump,,false,"This PR solely bumps the project version from 1.12.2 to 1.13.0, regenerates the lock file, and updates snapshot tests without altering any UI or functional code."
552,ci: Update bump-version workflow to regenerate snapshot tests,malhotra5,merged,2026-02-27T15:50:40Z,2026-02-27T16:18:37Z,28,6,1,,ci/bump-version-snapshot-updates,main,APPROVED,false,12,"malhotra5,all-hands-bot",7,0.47,0.04,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.13.0,2026-02-27,dependency-bump,,false,agent,false,no-issue,ci,,false,"This PR modifies the GitHub Actions bump-version workflow to automatically regenerate snapshot tests and enforce a one-line version change, affecting only CI configuration without touching application code."
550,feat: dropdown menu ,VascoSch92,merged,2026-02-27T10:16:07Z,2026-02-27T15:27:12Z,890,21,7,,vasco/slash-commands,main,APPROVED,false,5,"malhotra5,all-hands-bot,VascoSch92",2,5.18,0.04,agent,false,true,false,false,true,true,true,true,4,false,0,,,1.13.0,2026-02-27,feature,,true,agent,true,no-issue,feature,,true,"This PR introduces a restyled dropdown menu in the terminal UI by updating TUI widget code and associated snapshots, which constitutes a new feature enhancement rather than a fix or refactor."
546,tui: implement conditional autoscrolling,juanmichelini,merged,2026-02-25T21:38:27Z,2026-02-26T17:53:30Z,4,3,1,,openhands/autoscroll-on-scroll-end,main,APPROVED,false,5,"malhotra5,all-hands-bot",2,20.25,15.74,agent,false,true,false,false,true,true,false,false,0,true,1,520,juanmichelini,1.13.0,2026-02-27,feature,,true,agent,false,self-filed,bug-fix,ux-regression,true,"This change fixes the unwanted always-on autoscroll behavior in the TUI conversation view (richlog_visualizer) by only scrolling when the user is at the bottom, addressing the UX regression described in issue #520."
543,fix(acp): send session/update after session/new response,jpshackelford,merged,2026-02-25T12:01:15Z,2026-02-25T14:44:38Z,6,2,1,"bug,acp,customer-support",fix/acp-session-new-notification-ordering,main,APPROVED,false,4,"enyst,jpshackelford,all-hands-bot",3,2.72,2.38,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.13.0,2026-02-27,bug-fix,other-fix,false,agent,false,no-issue,bug-fix,critical,false,"This PR corrects the ordering of ACP protocol messages to ensure a session/update notification is sent after the session/new response, fixing a client hang that rendered new sessions unusable."
542,feat: add /settings slash command to open settings modal,malhotra5,merged,2026-02-25T02:09:55Z,2026-02-25T18:55:55Z,16,2,3,,openhands-workspace-4ljpwcRaRJnorN2olY6icd,main,APPROVED,false,2,"enyst,all-hands-bot",2,16.77,0.69,agent,false,true,false,false,true,true,false,true,0,false,0,,,1.13.0,2026-02-27,feature,,true,agent,false,no-issue,feature,,true,"This PR introduces a new `/settings` slash command in the TUI, updating command lists, help text, and input handlers to open the settings modal, thus adding a user-facing feature."
534,fix: remove unused runtime image pull and env var from gui_launcher,neubig,merged,2026-02-23T22:44:13Z,2026-03-02T20:23:31Z,19,57,2,,fix/use-v1-agent-server-env-vars,main,APPROVED,false,6,"enyst,neubig,malhotra5,all-hands-bot",4,165.66,0.93,agent,false,true,false,false,true,false,false,true,0,false,0,,,1.13.1,2026-03-11,bug-fix,polish,false,agent,false,no-issue,refactor,,false,"This change simply removes dead code for pulling an unused runtime image and an obsolete environment variable without altering functionality, qualifying it as a refactor. No terminal UI code is affected."
532,fix(types): add missing type hints to handle_resume_logic and _meta,app/github-actions,merged,2026-02-23T09:32:58Z,2026-02-23T15:05:55Z,4,3,2,,fix/code-quality/add-missing-type-hints,main,APPROVED,false,2,enyst,3,5.55,5.21,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.13.0,2026-02-27,bug-fix,polish,false,bot,false,no-issue,refactor,,false,This PR adds missing type annotations to improve code quality and maintainability without changing any functionality or UI. It’s a code-structure/refactor update rather than a bug fix or feature addition.
531,fix(acp): lazy-init ACP_CACHE_DIR to avoid import side effects,app/github-actions,merged,2026-02-23T09:30:27Z,2026-02-26T19:32:53Z,14,5,2,,fix/code-quality/lazy-init-acp-cache-dir,main,APPROVED,false,1,malhotra5,2,82.04,82.04,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.13.0,2026-02-27,bug-fix,other-fix,false,bot,false,no-issue,bug-fix,polish,false,"This change fixes an import‐time side effect by converting the ACP_CACHE_DIR constant to a lazily initialized function, removing unintended filesystem operations on import. It improves code quality and avoids unnecessary directory creation without user‐visible behavior changes."
528,fix(Makefile): help and pre-commit,VascoSch92,merged,2026-02-21T22:34:26Z,2026-02-21T23:36:32Z,38,14,1,,main,main,APPROVED,false,1,enyst,2,1.03,0.53,human,false,false,false,false,false,false,false,false,0,false,0,,,1.13.0,2026-02-27,bug-fix,other-fix,false,human,false,no-issue,bug-fix,polish,false,"This PR corrects and enhances Makefile targets for linting, pre-commit, and help output, addressing a developer tooling bug without affecting user-facing features or UI code."
527,Bump SDK packages to v1.11.5,all-hands-bot,merged,2026-02-20T22:17:22Z,2026-02-24T18:51:43Z,12,12,3,,bump-sdk-1.11.5,main,APPROVED,false,2,"malhotra5,all-hands-bot",5,92.57,0.02,bot,true,true,false,false,true,false,false,false,0,false,0,,,1.13.0,2026-02-27,version-bump,,false,bot,false,no-issue,version-bump,,false,"This automated PR updates package versions (openhands-sdk and openhands-tools) to v1.11.5 across spec, pyproject, and lock files. It purely bumps dependency versions and does not modify any UI or application logic."
524,fix(tests): make creating_agent_plan snapshot test deterministic,malhotra5,merged,2026-02-19T17:37:43Z,2026-02-19T18:15:04Z,42,37,2,,fix/flaky-creating-agent-plan-test,main,APPROVED,false,1,all-hands-bot,1,0.62,0.07,agent,false,true,true,false,true,false,true,true,1,false,0,,,1.13.0,2026-02-27,bug-fix,polish,false,agent,true,no-issue,test,,false,"This PR fixes a flaky end-to-end snapshot test by making scroll behavior deterministic, changing only test code rather than production logic."
523,ci: disable pull_request_target for PR review,enyst,merged,2026-02-18T22:21:32Z,2026-02-21T04:51:36Z,13,15,1,,ci/temporarily-disable-pr-target-pr-review,main,APPROVED,false,15,"enyst,all-hands-bot",9,54.5,0.06,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.13.0,2026-02-27,ci,,false,agent,false,no-issue,ci,,false,"This PR updates the GitHub Actions workflow configuration to use `pull_request` instead of `pull_request_target`, which is a CI/security change rather than a feature or bug fix."
522,test(snapshots): update select_all e2e snapshots for v1.12.2,malhotra5,merged,2026-02-18T21:16:47Z,2026-02-18T21:21:48Z,4,4,4,,update-select-all-snapshots,main,APPROVED,false,3,"enyst,malhotra5,all-hands-bot",1,0.08,0.02,agent,false,true,true,false,true,false,true,false,4,false,0,,,1.13.0,2026-02-27,test,,false,agent,true,no-issue,test,,false,"This PR updates E2E test snapshots to match a CLI version change, so it’s purely a test update. No application code or TUI components are modified."
521,ci: disable uv cache in untrusted agent workflows,enyst,merged,2026-02-18T20:35:40Z,2026-02-18T22:18:03Z,4,0,1,,ci/disable-uv-cache-untrusted-prompts,main,APPROVED,false,5,"enyst,all-hands-bot",3,1.71,0.04,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.13.0,2026-02-27,ci,,false,agent,false,no-issue,ci,,false,"This PR updates the GitHub Actions workflow to disable caching in untrusted-agent runs for security hardening, which is purely a CI configuration change."
516,Migrate PR review workflow to use extensions action,neubig,merged,2026-02-18T14:52:43Z,2026-02-20T18:41:10Z,93,8,2,,openhands/migrate-pr-review-to-extensions,main,APPROVED,false,12,"neubig,juanmichelini,all-hands-bot",10,51.81,27.12,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.13.0,2026-02-27,ci,,false,agent,false,no-issue,ci,,false,"This PR refactors GitHub workflow files to use a centralized composite action for PR reviews, which is clearly a continuous integration improvement. It doesn’t modify application code or UI components."
515,Bump version to 1.12.2,all-hands-bot,merged,2026-02-17T17:49:53Z,2026-02-17T18:07:47Z,22,22,21,,bump-version-1.12.2,main,APPROVED,false,2,"malhotra5,all-hands-bot",2,0.3,0.1,bot,true,true,false,false,true,false,true,false,19,false,0,,,1.13.0,2026-02-27,version-bump,,false,bot,true,no-issue,version-bump,,false,"This PR solely updates the project version in pyproject.toml and regenerates the lock file, with no functional or UI changes."
514,fix: Clear values of settings modal using .clear() instead of setting as blank,csmith49,merged,2026-02-17T16:01:37Z,2026-02-17T17:19:37Z,33,14,3,,fix/settings-clearing,main,APPROVED,false,1,malhotra5,4,1.3,0.13,agent,false,true,false,false,true,true,false,false,0,false,0,,,1.12.2,2026-02-17,bug-fix,ux-regression,true,agent,false,no-issue,bug-fix,critical,true,"This PR fixes a crash caused by changes in Select.BLANK behavior on first startup by replacing direct assignments with .clear() and updating comparisons, resolving a critical bug in the settings modal’s TUI code."
511,feat(tui): bind ctrl+a to select all text in input area,malhotra5,merged,2026-02-16T19:11:29Z,2026-02-18T20:25:22Z,1081,55,35,,feat/select-all-ctrl-a,main,APPROVED,false,4,"enyst,malhotra5,all-hands-bot",7,49.23,0.14,agent,false,true,true,false,true,true,true,true,31,false,0,,,1.13.0,2026-02-27,feature,,true,agent,true,no-issue,feature,,true,This PR introduces a new TUI feature by binding Ctrl+A to select all text in both single- and multi-line input widgets and includes end-to-end snapshot tests for the behavior. It adds functionality rather than fixing a bug or refactoring existing code.
510,Settings: enable memory condensation by default in basic and advanced modes,malhotra5,merged,2026-02-16T18:58:26Z,2026-02-16T19:33:12Z,4,4,3,,enable-condenser-by-default,main,APPROVED,false,2,"enyst,all-hands-bot",1,0.58,0.12,agent,false,true,true,false,true,true,false,true,0,false,0,,,1.12.2,2026-02-17,other,,true,agent,false,no-issue,bug-fix,ux-regression,true,"This change corrects the default memory condensation setting in the TUI to match the old CLI behavior, fixing a UX inconsistency. The PR modifies settings_tab.py and settings_screen.py, both part of the terminal UI."
509,fix(tui): add ComposeResult return type hints to compose() methods,app/github-actions,merged,2026-02-16T09:33:28Z,2026-02-16T20:18:22Z,15,9,7,,fix/code-quality/compose-return-types,main,APPROVED,false,2,enyst,2,10.75,5.58,bot,true,true,false,false,true,true,false,false,0,false,0,,,1.12.2,2026-02-17,bug-fix,polish,true,bot,false,no-issue,refactor,,true,"This PR adds missing `ComposeResult` return type annotations to TUI widget `compose()` methods for better IDE support and documentation without changing behavior, representing a code-quality refactor."
505,test: update comment reference to OpenHands/extensions,neubig,merged,2026-02-15T14:34:09Z,2026-02-16T16:58:49Z,1,1,1,review-this,refactor/extensions-rename,main,APPROVED,false,2,all-hands-bot,1,26.41,8.83,agent,false,true,true,false,true,false,false,true,0,false,0,,,1.12.2,2026-02-17,test,,false,agent,false,no-issue,docs,,false,This PR only updates a comment reference in a test file to reflect a repository rename and introduces no functional changes.
504,fix: default collapsibles to collapsed state,xingyaoww,merged,2026-02-15T08:32:45Z,2026-02-15T09:57:15Z,402,387,14,,fix/default-cells-collapsed,main,APPROVED,false,2,"enyst,all-hands-bot",4,1.41,0.17,agent,false,true,true,false,true,false,true,true,10,false,0,,,1.12.2,2026-02-17,bug-fix,other-fix,false,agent,true,no-issue,bug-fix,ux-regression,true,"This change fixes the default expanded state of collapsible cells in the CLI TUI, addressing an overwhelming UI behavior by collapsing cells by default and updating snapshots/tests accordingly."
497,tui: only show agent name prefix for non-default agents,xingyaoww,merged,2026-02-11T17:59:47Z,2026-02-16T18:51:47Z,243,29,11,,fix/hide-agent-prefix-for-default-agent,main,APPROVED,false,5,"openhands-ai[bot],malhotra5,all-hands-bot,xingyaoww",7,120.87,0.06,agent,false,true,false,false,true,true,true,true,8,false,0,,,1.12.2,2026-02-17,bug-fix,other-fix,true,agent,true,no-issue,bug-fix,ux-regression,true,"This PR fixes incorrect TUI output by hiding the agent name prefix for the default agent, preventing unwanted UI clutter. It modifies TUI widgets and rendering logic to correct the display behavior."
496,Bump version to 1.12.1,all-hands-bot,merged,2026-02-11T17:47:48Z,2026-02-11T18:02:41Z,14,14,14,,bump-version-1.12.1,main,APPROVED,false,2,"malhotra5,all-hands-bot",2,0.25,0.06,bot,true,true,false,false,true,false,true,false,12,false,0,,,1.12.2,2026-02-17,version-bump,,false,bot,true,no-issue,version-bump,,false,This PR solely bumps the project version and regenerates the lock file and snapshots without altering any terminal UI code.
495,Bump SDK packages to v1.11.4,all-hands-bot,merged,2026-02-11T16:40:18Z,2026-02-11T17:45:56Z,25,16,5,,bump-sdk-1.11.4,main,APPROVED,false,2,"neubig,all-hands-bot",3,1.09,0.03,bot,true,true,false,false,true,true,true,true,1,false,0,,,1.12.1,2026-02-11,version-bump,,true,bot,true,no-issue,dependency-bump,,true,This PR is an automated dependency bump updating the openhands-sdk and openhands-tools packages to v1.11.4 via pyproject.toml and lockfile changes. It also modifies a TUI settings choices file but introduces no new features or bug fixes.
490,tui: remove grey vertical border from Collapsible widgets,xingyaoww,merged,2026-02-11T10:00:51Z,2026-02-11T22:24:50Z,378,354,16,,remove-collapsible-border,main,APPROVED,false,5,"openhands-ai[bot],malhotra5,all-hands-bot,xingyaoww",10,12.4,0.04,agent,false,true,false,false,true,true,true,true,10,false,0,,,1.12.2,2026-02-17,other,,true,agent,true,no-issue,refactor,,true,"This PR restructures the Collapsible widget by removing unused border styling parameters and helper functions for a cleaner UI and codebase, without adding new features or fixing a functional bug. It also updates snapshots and tests to reflect the visual cleanup."
487,feat: add OpenHands stop hooks for pre-commit validation,xingyaoww,merged,2026-02-11T09:08:33Z,2026-02-11T11:11:56Z,56,1,3,review-this,add-openhands-stop-hooks,main,APPROVED,false,16,"openhands-ai[bot],malhotra5,all-hands-bot,xingyaoww",9,2.06,0.09,agent,false,true,true,false,true,true,false,false,0,false,0,,,1.12.1,2026-02-11,feature,,true,agent,false,no-issue,feature,,true,"This PR introduces a new feature by adding OpenHands stop hooks to run pre-commit validation and updates the TUI resources file, so it adds functionality rather than fixing a bug."
484,fix: pass Laminar API key as action input in PR review workflow,xingyaoww,merged,2026-02-10T09:16:02Z,2026-02-10T09:25:12Z,1,2,1,,fix-pr-review-laminar-api-key,main,APPROVED,false,2,"enyst,all-hands-bot",1,0.15,0.13,agent,false,true,true,false,true,false,false,false,0,false,0,,,1.12.1,2026-02-11,bug-fix,other-fix,false,agent,false,no-issue,ci,,false,"This PR corrects the GitHub Actions pr-review workflow by passing the Laminar API key as an action input instead of a job‐level env var, making it a CI configuration change. It does not touch any terminal UI code."
482,Rename auth console helper and tighten request kwargs typing,enyst,merged,2026-02-09T09:43:39Z,2026-02-26T20:05:56Z,138,101,10,,openhands/fix-console-print-typed-request-kwargs,main,APPROVED,false,2,"all-hands-bot,xingyaoww",5,418.37,0.05,agent,false,true,true,false,true,false,false,true,0,true,1,481,github-actions,1.13.0,2026-02-27,other,,false,agent,false,human,refactor,,false,"This PR renames the auth console helper and tightens type annotations for request kwargs without altering functionality, improving code clarity and consistency."
480,Bump version to 1.12.0,all-hands-bot,merged,2026-02-09T05:32:13Z,2026-02-09T05:59:36Z,19,19,19,,bump-version-1.12.0,main,APPROVED,false,2,"malhotra5,all-hands-bot",2,0.46,0.27,bot,true,true,false,false,true,false,true,false,17,false,0,,,1.12.1,2026-02-11,version-bump,,false,bot,true,no-issue,version-bump,,false,"This PR solely updates the project version in pyproject.toml and regenerates the lock and snapshot files, indicating a version increment rather than functional changes."
479,Add e2e snapshot tests for confirmation mode,malhotra5,merged,2026-02-08T22:47:41Z,2026-02-09T01:00:36Z,1574,0,20,,add-confirmation-mode-snapshot-tests,main,APPROVED,false,6,"enyst,all-hands-bot",6,2.22,0.06,agent,false,true,true,false,true,false,true,true,6,false,0,,,1.12.0,2026-02-09,feature,,false,agent,true,no-issue,test,,false,"This PR adds end-to-end snapshot tests for the CLI TUI confirmation mode flow without altering application code, focusing solely on test artifacts and coverage."
478,chore: update skills path references,enyst,merged,2026-02-08T18:11:22Z,2026-02-11T16:00:24Z,4,4,4,,chore/rename-skills-dir,main,APPROVED,false,2,"all-hands-bot,xingyaoww",1,69.82,0.08,agent,false,true,false,false,true,false,false,true,0,false,0,,,1.12.1,2026-02-11,other,,false,agent,false,no-issue,docs,,false,"This PR updates documentation and test artifacts to reflect renamed skills directory paths, with no functional changes. It’s a routine chore focused on docs/test maintenance rather than code or UI behavior."
477,refactor: use consolidated pr-review action from SDK,xingyaoww,merged,2026-02-08T15:50:36Z,2026-02-09T14:53:48Z,10,86,1,,refactor/use-consolidated-pr-review-action,main,APPROVED,false,6,"openhands-ai[bot],all-hands-bot,xingyaoww,enyst",3,23.05,0.06,agent,false,true,true,false,true,false,false,false,0,false,0,,,1.12.1,2026-02-11,refactor,,false,agent,false,no-issue,ci,,false,"This PR updates the GitHub Actions workflow for PR reviews by replacing custom steps with a consolidated action, a change to CI configuration rather than application code."
476,fix(tests): stabilize input cursor snapshots,enyst,merged,2026-02-08T13:53:54Z,2026-02-09T03:50:50Z,7,3,1,,openhands-workspace-1cFSzQ4gPWGDpBqx50OiMy,main,APPROVED,false,3,"enyst,malhotra5,all-hands-bot",1,13.95,0.03,agent,false,true,false,false,true,false,false,true,0,false,0,,,,,bug-fix,other-fix,false,agent,false,no-issue,test,,false,"This PR modifies snapshot test helpers to disable cursor blinking in Input widgets and stabilize tests, making it purely a test-related change without touching production UI code."
474,"feat: Show loaded resources (skills, hooks, MCPs) and add /skills command",xingyaoww,merged,2026-02-08T05:44:33Z,2026-02-10T16:50:33Z,1560,325,26,review-this,openhands/show-loaded-resources-114,main,APPROVED,false,82,"openhands-ai[bot],malhotra5,all-hands-bot,xingyaoww",58,59.1,0.03,agent,false,true,false,false,true,true,true,true,11,true,1,114,xingyaoww,1.12.1,2026-02-11,feature,,true,agent,true,self-filed,feature,,true,"This PR adds new functionality to display loaded resources and a `/skills` command, including multiple TUI widgets and layout changes. It clearly implements a requested feature rather than fixing bugs or refactoring existing logic."
473,fix: restore switch handling after state refactor,enyst,merged,2026-02-07T20:33:24Z,2026-02-08T02:41:53Z,75,29,7,,fix/pr-421-state-handling,refactor/improve-state-management-v2,APPROVED,false,8,"enyst,malhotra5,all-hands-bot",3,6.14,0.56,agent,false,true,true,false,false,true,false,true,0,false,0,,,,,bug-fix,other-fix,true,agent,false,no-issue,bug-fix,critical,true,"This PR corrects conversation switch handling after a state refactor and adds exception handling to prevent crashes during runner switches. It primarily modifies TUI code responsible for state resets, panels, and widgets."
471,docs: minor documentation tweaks,enyst,merged,2026-02-07T13:43:24Z,2026-02-09T03:49:56Z,11,2,2,,fix/yolo-example-in-help,main,APPROVED,false,2,"malhotra5,all-hands-bot",2,38.11,0.03,human,false,false,false,false,false,false,false,false,0,false,0,,,1.12.0,2026-02-09,docs,,false,human,false,no-issue,docs,,false,"This PR only updates documentation and help text in the README and argument parser, with no code logic or UI changes."
470,Add LMNR_PROJECT_API_KEY and all-hands-bot reviewer support,neubig,merged,2026-02-06T19:27:26Z,2026-02-06T22:09:38Z,5,3,1,,add-lmnr-and-all-hands-bot-reviewer,main,APPROVED,false,2,"enyst,all-hands-bot",1,2.7,0.03,agent,false,true,true,false,true,false,false,false,0,false,0,,,1.12.0,2026-02-09,feature,,false,agent,false,no-issue,ci,,false,"This PR modifies the GitHub Actions workflow configuration by adding an environment variable and a new reviewer trigger, which is purely a CI change and does not affect terminal UI code."
467,docs: clarify lint before commits,enyst,merged,2026-02-05T19:01:32Z,2026-02-05T19:15:42Z,1,1,1,,remind-precommit,main,APPROVED,false,1,malhotra5,1,0.24,0.21,agent,false,true,false,false,true,false,false,false,0,false,0,,,,,docs,,false,agent,false,no-issue,docs,,false,"This PR only updates AGENTS.md to clarify lint instructions before committing, making it purely a documentation change."
464,ci: add daily good first issue labeler workflow,enyst,merged,2026-02-05T18:27:56Z,2026-02-05T19:32:15Z,73,0,2,,openhands-workspace-33caPdMcVV1X88VHT5yp7c,main,APPROVED,false,4,"enyst,malhotra5",8,1.07,0.05,agent,false,true,false,false,true,false,false,false,0,false,0,,,1.12.0,2026-02-09,feature,,false,agent,false,no-issue,ci,,false,"This change adds a new GitHub Actions workflow for labeling issues on a schedule, which is strictly a CI configuration update without modifying any terminal UI code."
